sec,nsec,x,y,z,roll,pitch,yaw
37,378231907,1943.795,97.261,1414.018,16.628,327.410,122.518
37,580140327,1944.103,97.443,1413.892,17.847,328.474,119.503
37,776513691,1944.426,97.619,1413.778,19.402,328.812,116.956
37,880871179,1944.585,97.704,1413.732,20.372,329.229,115.137
38,76357794,1944.913,97.871,1413.654,21.745,329.632,111.728
38,180689469,1945.080,97.950,1413.626,22.619,330.021,109.976
38,376169655,1945.419,98.101,1413.592,24.235,330.605,106.484
38,577101212,1945.772,98.249,1413.571,25.681,330.463,101.993
38,775964089,1946.117,98.392,1413.577,26.910,330.300,98.203
38,879193758,1946.286,98.461,1413.590,27.543,329.767,95.998
39,75630659,1946.614,98.600,1413.632,29.098,328.773,91.996
39,177562268,1946.777,98.670,1413.660,29.786,328.417,90.167
39,375549851,1947.114,98.804,1413.732,31.615,328.440,86.509
39,477151779,1947.288,98.880,1413.763,31.983,328.244,85.298
39,676267276,1947.629,99.039,1413.826,32.238,328.397,83.385
39,816277111,1947.856,99.153,1413.869,32.420,328.260,82.832
40,9607874,1948.184,99.323,1413.943,33.607,327.362,81.954
40,112050048,1948.342,99.416,1413.975,33.815,326.460,82.253
40,309370715,1948.651,99.617,1414.023,33.423,325.050,83.653
40,504470440,1948.943,99.822,1414.038,32.757,322.542,86.297
40,706536673,1949.228,100.043,1414.039,32.004,320.046,88.866
41,137660062,1949.847,100.549,1413.999,28.995,317.046,93.809
41,241305373,1949.991,100.678,1413.991,28.488,316.871,95.103
41,341529360,1950.136,100.810,1413.982,27.896,316.401,96.834
41,469651274,1950.302,100.964,1413.960,26.515,315.959,99.480
41,575065625,1950.446,101.103,1413.928,25.479,315.317,101.023
41,677538606,1950.578,101.236,1413.897,24.410,315.052,102.538
41,818096616,1950.756,101.417,1413.843,22.453,314.795,105.008
41,956470082,1950.926,101.595,1413.776,20.493,314.580,107.694
42,64361952,1951.057,101.738,1413.718,18.999,314.474,109.859
42,169853038,1951.176,101.882,1413.655,17.396,313.886,111.912
42,292906695,1951.303,102.044,1413.575,15.338,313.203,114.116
42,403576863,1951.416,102.190,1413.497,13.655,312.618,116.097
42,510321987,1951.529,102.326,1413.413,11.902,311.957,117.983
42,616689248,1951.639,102.462,1413.331,10.361,311.727,119.941
42,721788293,1951.740,102.596,1413.247,8.496,311.791,122.074
42,827288832,1951.837,102.735,1413.156,6.713,311.632,123.729
42,946359019,1951.949,102.896,1413.051,4.962,311.289,125.467
43,54762052,1952.051,103.045,1412.958,3.949,311.208,126.937
43,155958345,1952.144,103.184,1412.870,3.425,310.916,127.711
43,266833725,1952.239,103.330,1412.774,2.525,310.314,128.693
43,375610299,1952.333,103.482,1412.674,1.311,309.753,129.909
43,476634954,1952.417,103.628,1412.580,0.285,309.795,131.187
43,596892232,1952.513,103.790,1412.470,359.270,309.929,132.628
43,727191654,1952.628,103.975,1412.342,358.678,309.844,133.608
43,831141124,1952.709,104.115,1412.247,358.048,310.045,134.287
43,947858235,1952.802,104.280,1412.140,357.533,310.035,134.972
44,58769712,1952.889,104.437,1412.036,356.703,309.726,135.818
44,159286308,1952.964,104.572,1411.945,356.029,309.216,136.514
44,286194456,1953.061,104.736,1411.831,355.409,308.815,137.622
44,394207868,1953.141,104.883,1411.728,354.498,308.763,138.624
44,494432908,1953.212,105.021,1411.629,353.392,308.971,139.719
44,595681774,1953.278,105.155,1411.528,352.053,309.290,141.011
44,711291452,1953.349,105.310,1411.411,350.619,309.707,142.181
44,832846244,1953.426,105.470,1411.280,349.233,309.957,143.549
44,935667265,1953.492,105.603,1411.164,348.283,310.396,144.467
45,38120702,1953.555,105.728,1411.045,346.833,311.026,145.616
45,142309472,1953.615,105.854,1410.912,344.803,311.710,146.998
45,252663681,1953.670,105.987,1410.769,342.522,312.876,148.257
45,364472918,1953.723,106.119,1410.623,340.590,313.615,149.829
45,482139331,1953.783,106.255,1410.471,339.223,314.657,151.571
45,627559760,1953.848,106.419,1410.281,337.544,316.089,153.407
45,738666536,1953.889,106.541,1410.126,335.598,316.959,154.947
45,905616518,1953.961,106.706,1409.876,332.898,318.826,156.272
46,18956894,1954.024,106.810,1409.684,331.539,320.937,156.568
46,150384259,1954.096,106.928,1409.477,330.746,323.141,156.155
46,267134004,1954.156,107.040,1409.291,330.074,325.182,156.029
46,458731733,1954.245,107.228,1408.983,329.404,327.364,156.078
46,567964114,1954.304,107.326,1408.799,329.095,328.307,156.943
46,725326814,1954.384,107.466,1408.539,328.967,328.937,157.924
46,828489337,1954.424,107.562,1408.372,328.866,329.365,158.747
46,933036648,1954.466,107.657,1408.199,328.998,329.004,159.809
47,47661471,1954.511,107.752,1408.017,329.046,328.283,161.291
47,149016340,1954.548,107.841,1407.854,329.221,327.107,162.574
47,271371010,1954.583,107.947,1407.668,329.137,325.733,163.715
47,380265813,1954.620,108.048,1407.501,328.843,324.291,164.397
47,491083008,1954.670,108.151,1407.333,328.957,322.626,165.389
47,604333194,1954.722,108.263,1407.159,329.311,320.703,165.993
47,770221272,1954.783,108.438,1406.919,329.619,319.181,166.212
